age,birthreg,cbsasz,disability,educrec,elignatz,entryc,famstruct,forborn,govtemp,health,hhhsize,inscov,male,marst,natz,ownchild,ownhome,pernum,perwt,povpct,race,serial,statefip,statereg,tmetro_intv,veteran,work,year
71,0,0,1,3,0,NA,1,0,0,4,2,1,1,1,0,0,1,2,1170,386.12314,1,89,23,5,1,1,5,2016
64,0,0,0,3,0,NA,2,0,0,2,2,1,1,5,0,0,1,1,1631,428.51743,1,90,23,5,1,1,1,2016
36,0,0,1,2,0,NA,2,0,0,3,2,0,1,6,0,0,1,2,1314,428.51743,1,90,23,5,1,0,3,2016
74,0,0,0,3,0,NA,1,0,0,2,2,1,1,1,0,0,1,1,1394,240.40207,1,92,23,5,1,1,5,2016
70,0,0,0,4,0,NA,1,0,0,2,2,1,0,1,0,0,1,2,1394,240.40207,1,92,23,5,1,0,5,2016
62,0,0,0,4,0,NA,1,0,0,3,2,1,0,1,0,0,1,1,1304,461.58401,1,93,23,5,1,0,1,2016
63,0,0,0,2,0,NA,1,0,0,3,2,0,1,1,0,0,1,2,1304,461.58401,1,93,23,5,1,0,1,2016
57,0,0,0,1,0,NA,4,0,0,4,1,1,1,4,0,0,1,1,1064,373.44904,1,94,23,5,1,0,1,2016
19,0,0,0,2,0,NA,4,0,0,1,1,0,1,6,0,0,0,1,1650,58.389423,1,95,23,5,1,0,1,2016
42,0,0,0,4,0,NA,1,0,0,1,3,1,1,1,0,1,1,1,736,342.90805,1,101,23,5,1,0,1,2016
41,0,0,0,3,0,NA,1,0,0,1,3,1,0,1,0,1,1,2,736,342.90805,1,101,23,5,1,0,1,2016
16,0,0,0,1,0,NA,1,0,0,1,3,1,0,6,0,0,1,3,775,342.90805,1,101,23,5,1,0,1,2016
69,0,0,0,4,0,NA,1,0,1,3,2,1,0,1,0,0,1,1,1346,500,1,102,23,5,1,0,1,2016
70,0,0,0,4,0,NA,1,0,0,2,2,1,1,1,0,0,1,2,1346,500,1,102,23,5,1,0,5,2016
79,0,0,1,2,0,NA,5,0,0,4,1,1,0,5,0,0,0,1,1299,124.79106,1,103,23,5,1,0,4,2016
49,0,0,0,2,0,NA,1,0,0,4,4,1,0,1,0,0,1,1,655,273.73929,1,104,23,5,1,0,4,2016
51,0,0,0,2,0,NA,1,0,0,3,4,1,1,1,0,0,1,2,655,273.73929,1,104,23,5,1,0,1,2016
28,0,0,0,2,0,NA,5,0,0,2,4,1,0,6,0,1,1,3,873,273.73929,1,104,23,5,1,0,1,2016
8,0,0,0,1,0,NA,5,0,0,2,4,1,1,6,0,0,1,4,637,273.73929,1,104,23,5,1,0,0,2016
53,0,0,1,2,0,NA,4,0,0,5,1,1,1,6,0,0,1,1,1080,165.53403,1,105,23,5,1,0,3,2016
73,0,0,1,3,0,NA,4,0,0,4,1,1,1,4,0,0,0,1,1114,165.04794,1,106,23,5,1,0,5,2016
51,0,0,0,2,0,NA,1,0,0,3,2,1,0,1,0,0,1,1,1304,500,1,108,23,5,1,0,1,2016
56,0,0,0,2,0,NA,1,0,0,3,2,1,1,1,0,0,1,2,1304,500,1,108,23,5,1,0,1,2016
85,0,0,1,2,0,NA,5,0,0,3,1,1,0,5,0,0,1,1,1198,150.3123,1,109,23,5,1,0,5,2016
72,0,0,0,4,0,NA,1,0,0,3,2,1,1,1,0,0,1,1,1140,500,1,110,23,5,1,1,5,2016
71,0,0,0,4,0,NA,1,0,0,3,2,1,0,1,0,0,1,2,1140,500,1,110,23,5,1,0,1,2016
80,0,0,1,2,0,NA,5,0,0,4,2,1,0,5,0,0,1,1,1132,91.105835,1,112,23,5,1,0,5,2016
68,0,0,0,2,0,NA,4,0,0,4,2,1,1,4,0,0,1,2,1089,85.510689,1,112,23,5,1,0,5,2016
72,0,0,1,4,0,NA,5,0,0,3,1,1,0,5,0,0,1,1,1140,212.1492,1,115,23,5,1,0,5,2016
71,0,0,0,4,0,NA,5,0,0,2,1,1,0,4,0,0,1,1,1140,193.05006,1,117,23,5,1,0,5,2016
57,0,0,0,4,0,NA,5,0,0,1,1,1,0,4,0,0,1,1,1117,182.61293,1,118,23,5,1,0,1,2016
47,0,0,0,2,0,NA,5,0,0,2,1,0,0,4,0,0,0,1,1356,137.86392,1,119,23,5,1,0,1,2016
33,0,0,0,2,0,NA,1,0,0,1,3,1,0,1,0,1,0,1,1452,146.7764,1,120,23,5,1,0,1,2016
35,0,0,1,1,0,NA,1,0,0,4,3,1,1,1,0,1,0,2,1452,146.7764,1,120,23,5,1,0,3,2016
9,0,0,0,1,0,NA,1,0,0,2,3,1,0,6,0,0,0,3,1299,146.7764,1,120,23,5,1,0,0,2016
62,0,0,0,3,0,NA,4,0,1,3,1,1,1,5,0,0,1,1,1416,484.05646,1,121,23,5,1,1,1,2016
79,0,0,0,4,0,NA,1,0,0,2,2,1,1,1,0,0,1,1,1346,324.68936,1,122,23,5,1,1,5,2016
66,0,0,0,4,0,NA,1,0,0,2,2,1,0,1,0,0,1,2,1346,324.68936,1,122,23,5,1,0,1,2016
55,0,0,1,4,0,NA,4,0,0,1,1,1,1,6,0,0,1,1,1164,239.25067,1,124,23,5,1,0,1,2016
41,0,0,0,4,0,NA,5,0,1,2,1,1,0,6,0,0,1,1,1379,178.50945,1,125,23,5,1,0,1,2016
36,0,0,0,4,0,NA,5,0,0,3,1,1,0,6,0,0,0,1,1592,113.61609,1,126,23,5,1,0,1,2016
65,0,0,1,2,0,NA,4,0,0,2,1,1,1,6,0,0,1,1,1151,237.52969,1,127,23,5,1,1,1,2016
31,0,0,0,2,0,NA,4,0,0,3,2,1,1,6,0,0,0,1,1636,202.74106,1,129,23,5,1,0,1,2016
27,0,0,1,2,0,NA,5,0,0,4,2,1,0,6,0,0,0,2,1636,106.26875,1,129,23,5,1,0,3,2016
32,0,0,0,2,0,NA,4,0,0,1,1,1,1,6,0,0,1,1,1210,348.71463,1,130,23,5,1,0,1,2016
48,0,0,0,3,0,NA,4,0,0,2,1,1,1,4,0,0,1,1,1084,500,1,131,23,5,1,0,1,2016
57,0,0,0,4,0,NA,1,0,0,1,4,1,0,1,0,1,1,1,695,500,1,132,23,5,1,0,1,2016
53,0,0,0,4,0,NA,1,0,0,1,4,1,1,1,0,1,1,2,695,500,1,132,23,5,1,0,2,2016
14,0,0,0,1,0,NA,1,0,0,1,4,1,0,6,0,0,1,3,2208,500,2,132,23,5,1,0,0,2016
11,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,4,2184,500,2,132,23,5,1,0,0,2016
42,0,0,0,3,0,NA,1,0,0,1,5,1,1,1,0,1,1,1,787,183.83653,1,133,23,5,1,0,1,2016
43,0,0,0,4,0,NA,1,0,1,1,5,1,0,1,0,1,1,2,787,183.83653,1,133,23,5,1,0,1,2016
13,0,0,0,1,0,NA,1,0,0,1,5,1,1,6,0,0,1,3,624,183.83653,1,133,23,5,1,0,0,2016
12,0,0,0,1,0,NA,1,0,0,1,5,1,0,6,0,0,1,4,642,183.83653,1,133,23,5,1,0,0,2016
8,0,0,0,1,0,NA,1,0,0,1,5,1,1,6,0,0,1,5,637,183.83653,1,133,23,5,1,0,0,2016
58,0,0,1,2,0,NA,1,0,0,4,2,1,1,1,0,0,1,1,1023,294.37338,1,135,23,5,1,0,3,2016
64,0,0,0,2,0,NA,1,0,1,2,2,1,0,1,0,0,1,2,1023,294.37338,1,135,23,5,1,0,1,2016
42,0,0,0,3,0,NA,5,0,0,1,3,1,0,4,0,1,0,1,707,298.58893,1,143,23,5,1,0,1,2016
31,0,0,0,3,0,NA,5,0,0,1,3,1,0,4,0,1,0,2,707,182.17543,1,143,23,5,1,0,1,2016
6,0,0,0,1,0,NA,5,0,0,1,3,1,0,6,0,0,0,3,626,182.17543,1,143,23,5,1,0,0,2016
80,0,0,0,3,0,NA,3,0,0,1,7,1,0,5,0,0,1,1,649,178.47232,1,145,23,5,1,0,1,2016
18,0,0,0,3,0,NA,3,0,0,1,7,1,0,6,0,0,1,2,1323,178.47232,4,145,23,5,1,0,4,2016
13,0,0,0,1,0,NA,3,0,0,1,7,1,1,6,0,0,1,3,878,178.47232,4,145,23,5,1,0,0,2016
34,0,0,0,2,0,NA,1,0,0,2,7,1,0,1,0,1,1,4,1059,178.47232,1,145,23,5,1,0,1,2016
